lipidClassSL,lipidClass,Tissue,FC,log2FC,absFC,CV,p_value,na.rm,FDR
Total Gb3 16:1;O2,Total Gb3,Plasma,1.188115181184095,0.24867470420950608,1.188115181184095,0.2528278222514736,0.13463101514483575,TRUE,0.24756130708441265
Total Gb3 18:1;O2,Total Gb3,PLT,1.0077189674853229,0.011093356352601747,1.0077189674853229,0.6670006731978534,0.8069249356071582,TRUE,0.8666971530595403
Total Gb3 18:1;O2,Total Gb3,Plasma,1.7492538697752775,0.8067396832487393,1.7492538697752775,0.34176994313376863,7.301947146126567e-4,TRUE,0.00681515066971813
Total Gb3 18:2;O2,Total Gb3,PLT,1.118680233654837,0.16179771169650695,1.118680233654837,0.5651087529355373,0.4952341700991836,TRUE,0.6838948063274439
Total Gb3 18:2;O2,Total Gb3,Plasma,1.6949621322648412,0.7612530419728343,1.6949621322648412,0.15763499858704486,1.121540533338234e-5,TRUE,3.140313493347055e-4
Total Gb4 16:1;O2,Total Gb4,Plasma,1.07462899241722,0.1038386661544235,1.07462899241722,0.20186560440880807,0.42407739301613356,TRUE,0.5397348638387154
Total Gb4 18:1;O2,Total Gb4,PLT,1.2362050242429026,0.3059180336379263,1.2362050242429026,0.8351329260432907,0.45517406092530055,TRUE,0.6600023883416858
Total Gb4 18:1;O2,Total Gb4,Plasma,1.1733105740689644,0.23058494376957647,1.1733105740689644,0.1578186161630825,0.0690497244744323,TRUE,0.20710239086909116
Total Gb4 18:2;O2,Total Gb4,PLT,1.233766774317507,0.303069699725375,1.233766774317507,0.5685825738264536,0.33636341443827333,TRUE,0.6503026012473284
Total Gb4 18:2;O2,Total Gb4,Plasma,1.2262388483800128,0.29424001639557756,1.2262388483800128,0.14942958826221006,0.018979945090441798,TRUE,0.0885730770887284
Total Hex2Cer 16:1;O2,Total Hex2Cer,PLT,0.9507792625023126,-0.07281765796307485,0.9507792625023126,0.4543015660793764,0.7154289522452353,TRUE,0.7979784467350701
Total Hex2Cer 16:1;O2,Total Hex2Cer,Plasma,0.8555856561700346,-0.2250157988568482,0.8555856561700346,0.40746114061719063,0.21989633316229204,TRUE,0.3361994373866934
Total Hex2Cer 18:1;O2,Total Hex2Cer,PLT,1.1512930747164314,0.20325513461605976,1.1512930747164314,0.4339892384905239,0.43835338717964667,TRUE,0.6600023883416858
Total Hex2Cer 18:1;O2,Total Hex2Cer,Plasma,1.0254457872835654,0.036251222208244796,1.0254457872835654,0.09280399274931866,0.5582584416870364,TRUE,0.6513015153015426
Total Hex2Cer 18:2;O2,Total Hex2Cer,PLT,1.1086193874709327,0.1487641427245338,1.1086193874709327,0.36023707326247556,0.43737253457032776,TRUE,0.6600023883416858
Total Hex2Cer 18:2;O2,Total Hex2Cer,Plasma,1.1307285748363773,0.17725265989136743,1.1307285748363773,0.09777773235786473,0.08414912462400405,TRUE,0.20710239086909116
Total HexCer 16:1;O2,Total HexCer,Plasma,0.8285609591847646,-0.2713202510576567,0.8285609591847646,0.30175779741508,0.1414636040482358,TRUE,0.24756130708441265
Total HexCer 18:1;O2,Total HexCer,PLT,1.06005054965606,0.08413306290099304,1.06005054965606,0.15008907749678793,0.4205349872427673,TRUE,0.6600023883416858
Total HexCer 18:1;O2,Total HexCer,Plasma,0.9935651355546496,-0.009313544965137416,0.9935651355546496,0.159468359923632,0.8684976737001794,TRUE,0.9006642542075934
Total HexCer 18:2;O2,Total HexCer,Plasma,1.1601469984279194,0.21430761610010196,1.1601469984279194,0.20406614980125262,0.12384321100506666,TRUE,0.24756130708441265
Total SM (184),Total SM,PLT,1.1105995053084698,0.15133865842641891,1.1105995053084698,0.10101467009799499,0.050179257625837186,TRUE,0.2425330785248797
Total SM (184),Total SM,Plasma,0.9972908477020622,-0.003913784501404156,0.9972908477020622,0.14608458112890896,0.9794784746158622,TRUE,0.9794784746158622
Total SM 16:1;O2,Total SM,PLT,0.9048491923013086,-0.14425073103268615,0.9048491923013086,0.3744034394110491,0.4441453922370011,TRUE,0.6600023883416858
Total SM 16:1;O2,Total SM,Plasma,0.7908189705786721,-0.3385806152826816,0.7908189705786721,0.5093610447610011,0.08802273393912054,TRUE,0.20710239086909116
Total SM 17:1;O2,Total SM,PLT,0.9174637337294256,-0.12427696385553699,0.9174637337294256,0.20327771915423706,0.582132384178509,TRUE,0.7673563245989437
Total SM 17:1;O2,Total SM,Plasma,0.9196539576054708,-0.12083698106467758,0.9196539576054708,0.36429787127845864,0.3323984222881936,TRUE,0.4431978963842581
Total SM 18:1;O2,Total SM,PLT,1.1487711117794834,0.20009137518542236,1.1487711117794834,0.09071479767740098,0.014178536176303002,TRUE,0.13705918303759568
Total SM 18:1;O2,Total SM,Plasma,1.0355608756224501,0.05041236512497883,1.0355608756224501,0.18039929561091822,0.6982874429834859,TRUE,0.7520018616745232
Total SM 18:2;O2,Total SM,PLT,1.2329238568367098,0.30208370423700664,1.2329238568367098,0.12592172026625792,0.007761381924531831,TRUE,0.11254003790571154
Total SM 18:2;O2,Total SM,Plasma,1.133695695095355,0.1810334461954731,1.133695695095355,0.15229011080875166,0.08875816751532478,TRUE,0.20710239086909116
