lipidClassSL,Gender,Tissue,FC,log2FC,absFC,CV,p_value,FDR,lipidClass
Total Cer 18:1;O2,M,Plasma,0.8370524697621148,-0.2566100354414576,0.8370524697621148,0.2982205290024345,0.43919729160829124,0.5855963888110549,NA
Total Cer 18:2;O2,M,PLT,1.2686357223906375,0.34327787142832755,1.2686357223906375,0.23886451388841354,0.2098828918830369,0.5209030323275682,NA
Total Cer 18:2;O2,M,Plasma,0.9834488002057046,-0.024078149259072357,0.9834488002057046,0.37519493688516325,0.8807848115212635,0.9134064712072362,NA
Total Cer 20:1;O2,M,PLT,1.2262458901452056,0.2942483011523086,1.2262458901452056,0.22610417691013227,0.27562128426333926,0.5209030323275682,NA
Total Cer 20:1;O2,M,Plasma,0.7139430441789981,-0.48611910908961414,0.7139430441789981,0.4749646717596206,0.34868371777158963,0.5256984503311185,NA
Total GM3 18:1;O2,M,PLT,1.4325268907090252,0.5185622208170373,1.4325268907090252,0.27964680190089874,0.16562984889242213,0.5209030323275682,NA
Total GM3 18:1;O2,M,Plasma,1.4228489681865535,0.5087825315676606,1.4228489681865535,0.16256729105256498,0.018876056291313975,0.0836564665073926,NA
Total GM3 18:2;O2,M,PLT,1.6030040983270502,0.6807781139694122,1.6030040983270502,0.335216352029365,0.1314028102847471,0.5209030323275682,NA
Total GM3 18:2;O2,M,Plasma,1.3757451473611273,0.46021323988632973,1.3757451473611273,0.13698177400655218,0.01023761896975954,0.07871800747787336,NA
Total Gb3 16:1;O2,M,PLT,0.2937713437386569,-1.7672344214657798,0.2937713437386569,0.8758203371506039,0.22435691377083722,0.5209030323275682,NA
Total Gb3 16:1;O2,M,Plasma,1.1728849515627007,0.23006150616251847,1.1728849515627007,0.28858031001245715,0.4003193944007928,0.5604471521611099,NA
Total Gb3 18:1;O2,M,PLT,0.7664297140911785,-0.38377460017419746,0.7664297140911785,0.562195575673989,0.5663078657427769,0.7366280210653313,NA
Total Gb3 18:1;O2,M,Plasma,2.1582149110554543,1.1098385328872205,2.1582149110554543,0.3512209433260534,0.022825009603326375,0.0836564665073926,NA
Total Gb3 18:2;O2,M,PLT,0.9158910452722497,-0.12675210987806118,0.9158910452722497,0.4663578519686324,0.8002466151210248,0.8925827630196046,NA
Total Gb3 18:2;O2,M,Plasma,1.9269834112383406,0.9463441520035386,1.9269834112383406,0.1839774010247856,0.003800625545686733,0.05320875763961426,NA
Total Gb4 16:1;O2,M,Plasma,1.131893497691613,0.17873821825762798,1.131893497691613,0.19950277740075287,0.35672394843897326,0.5256984503311185,NA
Total Gb4 18:1;O2,M,PLT,1.1966308455775854,0.25897815696415766,1.1966308455775854,0.9343959848462315,0.8364764823080003,0.8984377032197042,NA
Total Gb4 18:1;O2,M,Plasma,1.2919665105036175,0.36956867393544174,1.2919665105036175,0.18579644370812207,0.12454184255317347,0.2660948204222303,NA
Total Gb4 18:2;O2,M,PLT,1.2002551660007459,0.2633411454925441,1.2002551660007459,0.6195937213163255,0.9881681337705501,0.9881681337705501,NA
Total Gb4 18:2;O2,M,Plasma,1.4625626986755096,0.5484984729896072,1.4625626986755096,0.19409917174317187,0.028907378879166497,0.08993406762407355,NA
Total Hex2Cer 16:1;O2,M,PLT,1.0104543789711962,0.015004186915287978,1.0104543789711962,0.4295322725707904,0.9676752039070912,0.9881681337705501,NA
Total Hex2Cer 16:1;O2,M,Plasma,0.7518566007441527,-0.4114705674564501,0.7518566007441527,0.3100513561120084,0.1779355502474922,0.2993910593503813,NA
Total Hex2Cer 18:1;O2,M,PLT,1.5531264226658041,0.6351752681860452,1.5531264226658041,0.5000437524590197,0.31809650806218154,0.5209030323275682,NA
Total Hex2Cer 18:1;O2,M,Plasma,1.0605001785441566,0.08474486375837612,1.0605001785441566,0.14227037565566927,0.5606227636430592,0.6824972774785069,NA
Total Hex2Cer 18:2;O2,M,PLT,1.515256071778374,0.5995616235772202,1.515256071778374,0.42009851985329794,0.2666039851622963,0.5209030323275682,NA
Total Hex2Cer 18:2;O2,M,Plasma,1.2518335462379342,0.32404274279612233,1.2518335462379342,0.08964197257082643,0.07029437396437903,0.1640202059168844,NA
