Compound,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR_BH,FDR,lipid_class
PC 39:6 b,PC,Plasma_Serum,1.3630517903223902,0.4468403796205839,1.3630517903223902,0.6050921943079329,0.5382291536179878,0.9160245726048032,0.7909612479049287,PL/NL/CAR
PC 40:4 a,PC,PLT,1.525237002874053,0.6090334369735004,1.525237002874053,0.1707117126404076,0.025072303455503743,0.6271798079056198,0.4733846137263097,PL/NL/CAR
PC 40:4 a,PC,Plasma_Serum,1.0101211647613637,0.014528355666188679,1.0101211647613637,0.31252656471831225,0.9133111285029684,0.9784632747150225,0.8448752969551935,PL/NL/CAR
PC 40:4 b,PC,PLT,1.0408407878844013,0.057749403799357536,1.0408407878844013,0.21268780127958695,0.6417395880630568,0.8627418663042332,0.6511828346160718,PL/NL/CAR
PC 40:4 b,PC,Plasma_Serum,1.1810712013205507,0.24009594076867738,1.1810712013205507,0.3158543440884823,0.3970055225282776,0.907905714964208,0.783950844512903,PL/NL/CAR
PC 40:5 a,PC,PLT,1.2196621923849484,0.28648162249679526,1.2196621923849484,0.1109619004865069,0.15143553770779142,0.6271798079056198,0.4733846137263097,PL/NL/CAR
PC 40:5 a,PC,Plasma_Serum,1.1994431140922035,0.26236473665328613,1.1994431140922035,0.27803786245354567,0.3890097143228095,0.9060287968655705,0.7823301789479038,PL/NL/CAR
PC 40:5 b,PC,PLT,1.3232329203948707,0.4040670325326643,1.3232329203948707,0.14762194037126314,0.08932005352086803,0.6271798079056198,0.4733846137263097,PL/NL/CAR
PC 40:5 b,PC,Plasma_Serum,1.232171642888731,0.30120323906538127,1.232171642888731,0.4684239752791466,0.6231643035833154,0.9598501205666662,0.8288033660562588,PL/NL/CAR
PC 40:6,PC,PLT,1.1891644452800691,0.24994823399480498,1.1891644452800691,0.6113190975583459,0.8763823303575506,0.961883045514385,0.7260129044512138,PL/NL/CAR
PC 40:6,PC,Plasma_Serum,1.164892252057945,0.22019651744557786,1.164892252057945,0.4654747425256787,0.7204088671328988,0.9599637883994036,0.8289015150071902,PL/NL/CAR
PC 40:7 a,PC,PLT,1.4764274415735055,0.5621104575526281,1.4764274415735055,0.39491406308813803,0.20840712295059227,0.658287183809795,0.4968639300895257,PL/NL/CAR
PC 40:7 a,PC,Plasma_Serum,0.790735745907231,-0.33873245046059486,0.790735745907231,0.4288087450703615,0.3952489484495851,0.907905714964208,0.783950844512903,PL/NL/CAR
PC 40:7 bc,PC,PLT,1.0927414721100068,0.12795211919646216,1.0927414721100068,0.5029528537019895,0.9664849131246083,0.9920514944928805,0.7487835347973939,PL/NL/CAR
