lipidClass,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,na.rm,FDR
Total HexCer,GSL,Plasma,0.9952446798674504,-0.006876840552009193,0.9952446798674504,0.15750609146227423,0.8535018084941883,TRUE,0.9794784746158622
Total SM,SM,PLT,1.1389572289711654,0.1877135708302329,1.1389572289711654,0.08964083486536768,0.020027323534116143,TRUE,0.10013661767058071
Total SM,SM,Plasma,1.0274402229220072,0.03905445950045685,1.0274402229220072,0.18493410682054295,0.7785309449734757,TRUE,0.9794784746158622
Total SM,SM_sum,PLT,1.1105995053084698,0.15133865842641891,1.1105995053084698,0.10101467009799499,0.050179257625837186,TRUE,0.1568101800807412
Total SM,SM_sum,Plasma,0.9972908477020622,-0.003913784501404156,0.9972908477020622,0.14608458112890896,0.9794784746158622,TRUE,0.9794784746158622
Total SPB,SPB,PLT,1.4237398130064214,0.5096855193502823,1.4237398130064214,0.45971229506185535,0.08400255163591654,TRUE,0.16154336853060872
Total SPB,SPB,Plasma,0.8399877283505485,-0.25155984363540507,0.8399877283505485,0.26346348016426036,0.6337001745121014,TRUE,0.9716736009185555
Total SPBP,SPBP,PLT,1.1928951060246236,0.25446718915946476,1.1928951060246236,0.1600471150706786,0.04263063482033603,TRUE,0.15225226721548582
Total SPBP,SPBP,Plasma,0.7820875860995924,-0.3545979106850037,0.7820875860995924,0.12128560184616681,8.467283368895529e-5,TRUE,0.0019474751748459716
Total SPBP,SPBP,Serum,0.802745650894543,-0.31698515113048964,0.802745650894543,0.1273280806800823,0.002409766153915727,TRUE,0.004016276923192879
