Compound,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR_BH,FDR,lipid_class
PE P-17:0/22:6 a,PE,PLT,0.9599941861044126,-0.05890242624495479,0.9599941861044126,0.4860763813826309,0.7213100996258732,0.987612574865048,0.9810280658417058,PL/NL/CAR
PE P-17:0/22:6 a,PE,Plasma_Serum,0.759673964485162,-0.3965477167814198,0.759673964485162,0.3061071596393959,0.3318061363668867,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-17:0/22:6 b,PE,PLT,0.9162666630713661,-0.12616056479307303,0.9162666630713661,0.2929123596683457,0.9009031447162373,0.987612574865048,0.9810280658417058,PL/NL/CAR
PE P-17:0/22:6 b,PE,Plasma_Serum,0.8405649802677767,-0.25056874290192543,0.8405649802677767,0.45447473432685587,0.4061892335112357,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/18:1,PE,PLT,1.2016207180576781,0.2649815927828907,1.2016207180576781,0.25756300700545354,0.23122408906864295,0.9123368778786911,0.9062542392432515,PL/NL/CAR
PE P-18:0/18:1,PE,Plasma_Serum,0.9816338200802589,-0.02674314007811978,0.9816338200802589,0.4589093856441882,0.7444533749034997,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/18:2,PE,PLT,1.0376116759005145,0.05326661896303993,1.0376116759005145,0.2181284361272234,0.7950282911339625,0.987612574865048,0.9810280658417058,PL/NL/CAR
PE P-18:0/18:2,PE,Plasma_Serum,0.8002211103741369,-0.3215294064308503,0.8002211103741369,0.3433679438474335,0.32136322879941537,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/20:3 a,PE,PLT,0.7718541577478817,-0.3735998196359546,0.7718541577478817,0.4119774104958514,0.2822043316428425,0.9123368778786911,0.9062542392432515,PL/NL/CAR
PE P-18:0/20:3 a,PE,Plasma_Serum,0.7630450823479652,-0.39015979777716453,0.7630450823479652,0.48937058779079334,0.31980373826309816,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/20:3 b,PE,PLT,1.1615035205709165,0.21599352702877384,1.1615035205709165,0.2794610076915498,0.45378809570804557,0.9210220874915256,0.914881543719476,PL/NL/CAR
PE P-18:0/20:3 b,PE,Plasma_Serum,0.8704232139582844,-0.2002110614885646,0.8704232139582844,0.4667817642110547,0.7584133278564045,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/20:3 c,PE,PLT,1.153763071651276,0.20634699309284163,1.153763071651276,0.17593312130440028,0.28585519653439584,0.9123368778786911,0.9062542392432515,PL/NL/CAR
PE P-18:0/20:3 c,PE,Plasma_Serum,1.3067771382253595,0.38601312048135206,1.3067771382253595,0.5702377266231033,0.6373807482009546,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/20:4,PE,PLT,1.0414610265332918,0.05860885197655217,1.0414610265332918,0.1671680940304689,0.6887405951402314,0.9809788568746746,0.9744385754939097,PL/NL/CAR
PE P-18:0/20:4,PE,Plasma_Serum,1.0428898660504935,0.0605868106935064,1.0428898660504935,0.529447031723528,0.9557722334221266,0.9919243746390393,0.9919243746390393,PL/NL/CAR
PE P-18:0/20:5,PE,PLT,0.8703975732716673,-0.20025356062655905,0.8703975732716673,0.4735388803979053,0.5812709243713553,0.9490993074086185,0.9427715700825381,PL/NL/CAR
PE P-18:0/20:5,PE,Plasma_Serum,0.8073617111487441,-0.3087129257623454,0.8073617111487441,0.5141781622490675,0.6931861128859842,0.9837568652701892,0.9837568652701894,PL/NL/CAR
PE P-18:0/22:4,PE,PLT,1.2402735560853124,0.3106583580971386,1.2402735560853124,0.29962653641114695,0.2763465397430584,0.9123368778786911,0.9062542392432515,PL/NL/CAR
