Sample,,,,,,,13C2D2_S1P [113] Results,,,13C2D2_S1P [60] Results,,,LPC Results,,,S1P d16:1 [113] Results,,,S1P d16:1 [60] Results,,,S1P d17:1 [113] Results,,,S1P d17:1 [60] Results,,,S1P d18:0 [113] Results,,,S1P d18:0 [60] Results,,,S1P d18:1 [113] Results,,,S1P d18:1 [60] Results,,,S1P d18:2 [113] Results,,,S1P d18:2 [60] Results,,,S1P d19:1 [113] Results,,,S1P d19:1 [60] Results,,,S1P d20:1 [113] Results,,,S1P d20:1 [60] Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
,!,090_Serum_S1P-3uL_Sample_F19S,090_Serum_S1P-3uL_Sample_F19S.d,Sample,,6/3/2017 10:34 AM,17230,0.061,3.462,54589,0.061,3.462,15011520,0.070,3.615,3580,0.060,3.526,11159,0.060,3.518,1501,0.062,3.488,3740,0.062,3.488,11111,0.062,3.434,16500,0.064,3.441,29336,0.061,3.464,94987,0.061,3.464,8535,0.061,3.495,28059,0.061,3.495,679,0.064,3.439,3546,0.062,3.439,172,0.066,3.409,371,0.062,3.409
,!,091_Serum_S1P-3uL_Sample_F01A,091_Serum_S1P-3uL_Sample_F01A.d,Sample,,6/3/2017 10:45 AM,13918,0.061,3.462,53425,0.061,3.462,15530129,0.069,3.615,2412,0.060,3.518,7039,0.060,3.518,1111,0.064,3.495,2660,0.060,3.488,10568,0.062,3.434,14488,0.063,3.441,24162,0.061,3.464,78020,0.061,3.464,5791,0.061,3.495,20790,0.061,3.495,352,0.059,3.439,2394,0.062,3.439,88,0.055,3.409,218,0.061,3.409
,!,092_Serum_S1P-3uL_PQC_09,092_Serum_S1P-3uL_PQC_09.d,Sample,,6/3/2017 10:55 AM,16340,0.061,3.462,50745,0.061,3.462,15203637,0.068,3.615,3584,0.059,3.526,10210,0.060,3.518,1290,0.061,3.495,3202,0.061,3.488,10866,0.062,3.434,16600,0.063,3.441,27588,0.061,3.464,89779,0.061,3.464,7422,0.060,3.495,25174,0.061,3.495,551,0.063,3.439,3184,0.063,3.439,97,0.057,3.409,353,0.061,3.409
,!,093_Serum_S1P-3uL_TQC_10,093_Serum_S1P-3uL_TQC_10.d,Sample,,6/3/2017 11:05 AM,16743,0.061,3.462,59834,0.060,3.462,15585459,0.069,3.615,4079,0.060,3.526,11699,0.060,3.518,1301,0.063,3.488,3284,0.061,3.495,11612,0.062,3.441,17484,0.063,3.441,27776,0.061,3.464,88627,0.061,3.464,8173,0.061,3.495,25985,0.061,3.495,738,0.067,3.439,3276,0.062,3.439,103,0.054,3.409,267,0.060,3.409
,!,094_Serum_S1P-3uL_Sample_F25Y,094_Serum_S1P-3uL_Sample_F25Y.d,Sample,,6/3/2017 11:15 AM,18019,0.061,3.462,62621,0.061,3.462,18686371,0.070,3.615,5342,0.059,3.518,17882,0.059,3.518,1520,0.061,3.488,4472,0.061,3.488,12963,0.062,3.434,19268,0.063,3.441,32714,0.061,3.464,108319,0.061,3.464,9987,0.061,3.495,32021,0.061,3.495,821,0.062,3.439,3786,0.062,3.439,119,0.056,3.416,357,0.059,3.409
,!,095_Serum_S1P-3uL_Sample_F03C,095_Serum_S1P-3uL_Sample_F03C.d,Sample,,6/3/2017 11:25 AM,19776,0.061,3.462,66132,0.060,3.462,12344608,0.071,3.615,2278,0.060,3.526,7248,0.060,3.518,1064,0.063,3.495,2391,0.061,3.495,9251,0.062,3.441,13648,0.063,3.441,27401,0.061,3.464,90689,0.060,3.464,7040,0.061,3.495,23261,0.061,3.495,510,0.065,3.439,2395,0.063,3.439,182,0.061,3.401,319,0.063,3.409
,!,096_Serum_S1P-3uL_Sample_F27A,096_Serum_S1P-3uL_Sample_F27A.d,Sample,,6/3/2017 11:36 AM,15790,0.061,3.462,52606,0.061,3.462,15346422,0.067,3.615,4204,0.060,3.518,13477,0.060,3.518,1417,0.063,3.488,3732,0.061,3.488,11226,0.063,3.441,19629,0.063,3.441,30997,0.061,3.464,102439,0.061,3.464,8242,0.061,3.495,24675,0.062,3.495,675,0.062,3.439,2900,0.062,3.439,41,0.046,3.409,363,0.065,3.409
,!,097_Serum_S1P-3uL_Sample_F22V,097_Serum_S1P-3uL_Sample_F22V.d,Sample,,6/3/2017 11:46 AM,17907,0.061,3.462,65195,0.061,3.462,13004121,0.069,3.615,2151,0.059,3.526,7100,0.060,3.526,1116,0.063,3.488,2349,0.060,3.495,9979,0.062,3.441,16143,0.063,3.441,24437,0.061,3.464,83176,0.061,3.464,7644,0.061,3.495,24438,0.061,3.495,571,0.066,3.447,2257,0.062,3.439,164,0.056,3.409,320,0.058,3.409
,!,098_Serum_S1P-3uL_PQC_10,098_Serum_S1P-3uL_PQC_10.d,Sample,,6/3/2017 11:56 AM,12463,0.062,3.462,48505,0.061,3.462,16488969,0.068,3.615,3008,0.060,3.518,10027,0.060,3.518,1159,0.064,3.488,2905,0.061,3.495,9448,0.062,3.434,12761,0.063,3.441,22099,0.061,3.464,76116,0.061,3.464,6925,0.061,3.495,19822,0.061,3.495,574,0.069,3.439,2440,0.063,3.439,82,0.057,3.416,229,0.062,3.409
,!,099_Serum_S1P-3uL_TQC_11,099_Serum_S1P-3uL_TQC_11.d,Sample,,6/3/2017 12:06 PM,17105,0.061,3.462,58360,0.061,3.462,16165136,0.068,3.615,3459,0.059,3.526,11484,0.060,3.518,1322,0.062,3.495,3184,0.061,3.488,11530,0.062,3.441,17483,0.063,3.441,25336,0.061,3.464,94546,0.061,3.464,7917,0.061,3.495,26965,0.061,3.495,609,0.062,3.439,3121,0.062,3.439,256,0.069,3.409,371,0.063,3.409
,!,100_Serum_S1P-3uL_Sample_F20T,100_Serum_S1P-3uL_Sample_F20T.d,Sample,,6/3/2017 12:17 PM,15864,0.061,3.462,54070,0.061,3.462,16782303,0.070,3.615,3495,0.059,3.526,11531,0.060,3.518,1164,0.063,3.488,2735,0.061,3.495,10064,0.062,3.441,14704,0.062,3.441,22727,0.061,3.464,81613,0.061,3.464,6382,0.061,3.495,22797,0.061,3.495,434,0.066,3.439,2447,0.062,3.439,171,0.064,3.401,218,0.058,3.409
,!,101_Serum_S1P-3uL_Sample_F26Z,101_Serum_S1P-3uL_Sample_F26Z.d,Sample,,6/3/2017 12:27 PM,16942,0.061,3.462,52077,0.061,3.462,12893143,0.067,3.615,1939,0.060,3.518,6354,0.059,3.518,896,0.061,3.488,1946,0.061,3.488,8115,0.062,3.441,12516,0.064,3.441,22547,0.061,3.464,76392,0.061,3.464,6154,0.061,3.495,21479,0.061,3.495,510,0.065,3.439,2600,0.062,3.439,176,0.070,3.394,259,0.062,3.409
,!,102_Serum_S1P-3uL_Sample_F14N,102_Serum_S1P-3uL_Sample_F14N.d,Sample,,6/3/2017 12:37 PM,15092,0.062,3.462,60600,0.061,3.462,15995425,0.068,3.615,5528,0.060,3.526,17058,0.060,3.526,1484,0.061,3.488,3961,0.061,3.495,11285,0.062,3.434,16726,0.063,3.441,27218,0.061,3.464,97806,0.061,3.464,8288,0.061,3.495,28987,0.061,3.495,889,0.064,3.447,3686,0.062,3.439,128,0.055,3.409,325,0.059,3.409
!,!,103_Serum_S1P-3uL_Sample_F13M,103_Serum_S1P-3uL_Sample_F13M.d,Sample,,6/3/2017 12:47 PM,14782,0.061,3.462,50728,0.061,3.462,18617560,0.069,3.615,1776,0.060,3.518,5982,0.059,3.518,787,0.063,3.495,1734,0.061,3.495,7839,0.063,3.434,11150,0.063,3.441,17941,0.061,3.464,58329,0.062,3.464,5617,0.060,3.495,19499,0.061,3.495,231,0.072,3.447,1324,0.063,3.432,139,0.061,3.409,224,0.068,3.409
,!,104_Serum_S1P-3uL_PQC_11,104_Serum_S1P-3uL_PQC_11.d,Sample,,6/3/2017 12:57 PM,15859,0.061,3.462,53383,0.061,3.462,15715868,0.069,3.615,3143,0.059,3.518,11171,0.060,3.518,1271,0.063,3.488,3224,0.061,3.488,11185,0.062,3.434,16258,0.063,3.441,25165,0.061,3.464,91666,0.061,3.464,7693,0.061,3.495,25564,0.061,3.495,685,0.063,3.439,3121,0.063,3.439,132,0.066,3.401,315,0.060,3.409
,!,105_Serum_S1P-3uL_PQC_12,105_Serum_S1P-3uL_PQC_12.d,Sample,,6/3/2017 1:08 PM,15635,0.061,3.462,59009,0.061,3.462,15648817,0.069,3.615,3548,0.060,3.518,11166,0.060,3.518,1319,0.063,3.495,3439,0.061,3.488,11405,0.062,3.441,15837,0.063,3.441,26879,0.061,3.464,88607,0.061,3.464,8437,0.061,3.495,24693,0.061,3.495,664,0.065,3.439,2833,0.061,3.439,114,0.056,3.409,396,0.063,3.401
,!,106_Serum_S1P-3uL_TQC_12,106_Serum_S1P-3uL_TQC_12.d,Sample,,6/3/2017 1:18 PM,16372,0.062,3.462,57011,0.061,3.462,15769415,0.069,3.615,3514,0.060,3.518,11366,0.060,3.518,1285,0.060,3.488,3416,0.061,3.488,10883,0.062,3.441,16934,0.064,3.441,27209,0.061,3.464,89016,0.061,3.464,8293,0.061,3.495,27188,0.061,3.495,663,0.066,3.439,3053,0.062,3.439,112,0.061,3.409,287,0.060,3.401
!,!,107_ISTDinBuMe_S1P-3uL_BLANK_1,107_ISTDinBuMe_S1P-3uL_BLANK_1.d,Sample,,6/3/2017 1:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,108_ISTDinBuMe_S1P-3uL_BLANK_2,108_ISTDinBuMe_S1P-3uL_BLANK_2.d,Sample,,6/3/2017 1:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,109_ISTDinBuMe_S1P-3uL_BLANK_3,109_ISTDinBuMe_S1P-3uL_BLANK_3.d,Sample,,6/3/2017 1:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,110_Serum_S1P-3uL_TQC1to8_1,110_Serum_S1P-3uL_TQC1to8_1.d,Sample,,6/3/2017 1:30 PM,3392,0.062,3.470,11849,0.061,3.470,6083197,0.070,3.615,571,0.060,3.533,1906,0.061,3.526,218,0.060,3.495,673,0.062,3.495,2255,0.063,3.448,3253,0.063,3.448,5765,0.061,3.472,18102,0.061,3.472,1529,0.062,3.502,4238,0.061,3.495,334,0.089,3.439,615,0.062,3.439,20,0.068,3.438,58,0.099,3.409
!,!,111_Serum_S1P-3uL_TQC1to4_1,111_Serum_S1P-3uL_TQC1to4_1.d,Sample,,6/3/2017 1:40 PM,5583,0.060,3.462,20517,0.061,3.462,9797146,0.067,3.615,1133,0.060,3.526,3622,0.060,3.526,457,0.063,3.488,1058,0.062,3.488,3972,0.062,3.434,5826,0.063,3.441,10490,0.061,3.464,31875,0.061,3.464,2677,0.060,3.495,8865,0.061,3.495,367,0.080,3.439,1094,0.060,3.439,76,0.061,3.394,189,0.074,3.409
,!,112_Serum_S1P-3uL_TQC1to2_1,112_Serum_S1P-3uL_TQC1to2_1.d,Sample,,6/3/2017 1:50 PM,9534,0.062,3.462,35821,0.060,3.462,13909761,0.067,3.615,2286,0.060,3.526,6813,0.060,3.526,676,0.061,3.488,1968,0.062,3.488,7317,0.062,3.441,10258,0.063,3.441,16594,0.061,3.464,57899,0.061,3.464,4917,0.061,3.495,14830,0.061,3.495,333,0.062,3.447,1965,0.063,3.439,107,0.054,3.409,226,0.062,3.401
,!,113_Serum_S1P-3uL_TQC1to1_1,113_Serum_S1P-3uL_TQC1to1_1.d,Sample,,6/3/2017 2:00 PM,16932,0.061,3.462,59839,0.061,3.462,15166746,0.070,3.615,3455,0.060,3.526,11348,0.060,3.518,1332,0.061,3.488,3465,0.062,3.488,11584,0.062,3.434,15987,0.063,3.441,26402,0.061,3.464,93618,0.061,3.464,8411,0.061,3.495,25134,0.061,3.495,596,0.060,3.439,2948,0.063,3.439,62,0.047,3.409,337,0.061,3.401
,!,114_Serum_S1P-3uL_TQC_13,114_Serum_S1P-3uL_TQC_13.d,Sample,,6/3/2017 2:11 PM,17031,0.061,3.462,56312,0.061,3.462,15621688,0.069,3.615,3429,0.060,3.526,10842,0.060,3.518,1411,0.063,3.495,3595,0.061,3.495,10573,0.062,3.434,16680,0.063,3.441,27834,0.061,3.464,92418,0.061,3.464,8034,0.061,3.495,29782,0.061,3.495,688,0.066,3.439,3108,0.062,3.439,99,0.052,3.409,322,0.061,3.409
,!,115_Serum_S1P-3uL_TQC_14,115_Serum_S1P-3uL_TQC_14.d,Sample,,6/3/2017 2:21 PM,16613,0.061,3.462,59663,0.061,3.462,15176154,0.070,3.615,3320,0.060,3.518,11700,0.060,3.518,1366,0.063,3.488,3718,0.061,3.488,11276,0.062,3.434,17087,0.063,3.441,27032,0.061,3.464,88647,0.061,3.464,7690,0.061,3.495,26803,0.061,3.495,629,0.067,3.439,3247,0.063,3.439,170,0.059,3.409,350,0.061,3.409
!,!,116_ISTDinBuMe_S1P-3uL_BLANK_1,116_ISTDinBuMe_S1P-3uL_BLANK_1.d,Sample,,6/3/2017 2:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,117_ISTDinBuMe_S1P-3uL_BLANK_2,117_ISTDinBuMe_S1P-3uL_BLANK_2.d,Sample,,6/3/2017 2:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,118_ISTDinBuMe_S1P-3uL_BLANK_3,118_ISTDinBuMe_S1P-3uL_BLANK_3.d,Sample,,6/3/2017 2:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
