Sample,,,,,,,13C2D2_S1P [113] Results,,,13C2D2_S1P [60] Results,,,LPC Results,,,S1P d16:1 [113] Results,,,S1P d16:1 [60] Results,,,S1P d17:1 [113] Results,,,S1P d17:1 [60] Results,,,S1P d18:0 [113] Results,,,S1P d18:0 [60] Results,,,S1P d18:1 [113] Results,,,S1P d18:1 [60] Results,,,S1P d18:2 [113] Results,,,S1P d18:2 [60] Results,,,S1P d19:1 [113] Results,,,S1P d19:1 [60] Results,,,S1P d20:1 [113] Results,,,S1P d20:1 [60] Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
,!,025_Plasma_S1P-3uL_Sample_F11K,025_Plasma_S1P-3uL_Sample_F11K.d,Sample,,5/3/2017 11:51 PM,22021,0.061,3.462,75351,0.061,3.462,16375839,0.066,3.615,4730,0.060,3.526,15621,0.060,3.526,1950,0.069,3.495,4042,0.061,3.495,11697,0.062,3.441,17541,0.063,3.441,25137,0.061,3.464,81424,0.061,3.464,10837,0.061,3.495,38635,0.060,3.495,661,0.062,3.439,3236,0.060,3.439,244,0.066,3.401,359,0.058,3.409
,!,026_Plasma_S1P-3uL_PQC_07,026_Plasma_S1P-3uL_PQC_07.d,Sample,,6/3/2017 12:01 AM,25019,0.062,3.470,78260,0.061,3.470,16025934,0.069,3.615,4973,0.059,3.526,14279,0.060,3.526,1980,0.065,3.495,4453,0.061,3.495,13869,0.062,3.441,21285,0.063,3.441,34893,0.061,3.464,106585,0.061,3.464,10924,0.061,3.495,35575,0.061,3.495,773,0.065,3.447,3674,0.061,3.439,206,0.060,3.409,367,0.062,3.409
,!,027_Plasma_S1P-3uL_TQC_09,027_Plasma_S1P-3uL_TQC_09.d,Sample,,6/3/2017 12:11 AM,27778,0.062,3.462,78250,0.061,3.462,15296943,0.069,3.615,4846,0.060,3.518,16122,0.060,3.518,2256,0.066,3.495,4587,0.062,3.488,15178,0.061,3.441,22809,0.063,3.441,35831,0.061,3.464,120027,0.061,3.464,11277,0.061,3.495,36350,0.061,3.495,628,0.059,3.439,3654,0.062,3.439,66,0.046,3.409,406,0.063,3.409
,!,028_Plasma_S1P-3uL_PQC_08,028_Plasma_S1P-3uL_PQC_08.d,Sample,,6/3/2017 12:21 AM,26998,0.062,3.462,79988,0.061,3.462,15346978,0.068,3.615,4687,0.060,3.518,14862,0.060,3.526,1897,0.065,3.495,4495,0.061,3.488,14458,0.061,3.434,19962,0.063,3.441,34044,0.061,3.464,111882,0.061,3.464,10439,0.061,3.495,33968,0.061,3.495,800,0.064,3.439,3641,0.062,3.439,203,0.061,3.401,428,0.062,3.401
,!,029_Plasma_S1P-3uL_Sample_F29C,029_Plasma_S1P-3uL_Sample_F29C.d,Sample,,6/3/2017 12:32 AM,32711,0.063,3.470,77428,0.061,3.462,14448291,0.069,3.615,9084,0.060,3.526,28386,0.060,3.526,2528,0.064,3.495,6030,0.061,3.495,12357,0.062,3.441,19371,0.063,3.441,32839,0.061,3.464,108216,0.061,3.464,12644,0.061,3.495,38920,0.061,3.495,795,0.064,3.439,3413,0.062,3.439,222,0.068,3.409,256,0.060,3.409
,!,030_Plasma_S1P-3uL_Sample_F07G,030_Plasma_S1P-3uL_Sample_F07G.d,Sample,,6/3/2017 12:42 AM,23849,0.061,3.462,77937,0.061,3.462,14318660,0.069,3.615,2465,0.061,3.518,7632,0.059,3.526,1609,0.064,3.495,3427,0.061,3.488,12723,0.061,3.441,18016,0.064,3.441,31182,0.061,3.464,103489,0.061,3.464,8490,0.061,3.495,28950,0.060,3.495,588,0.066,3.447,3013,0.062,3.439,171,0.061,3.409,381,0.061,3.409
,!,031_Plasma_S1P-3uL_Sample_F19S,031_Plasma_S1P-3uL_Sample_F19S.d,Sample,,6/3/2017 12:52 AM,22741,0.062,3.462,72487,0.061,3.462,15170606,0.068,3.615,4579,0.061,3.526,14919,0.060,3.526,2055,0.065,3.495,4602,0.061,3.488,14794,0.062,3.441,21608,0.063,3.441,33943,0.061,3.464,122668,0.061,3.464,10215,0.061,3.495,35133,0.061,3.495,839,0.063,3.439,3972,0.062,3.439,189,0.062,3.409,339,0.064,3.401
,!,032_Plasma_S1P-3uL_Sample_F01A,032_Plasma_S1P-3uL_Sample_F01A.d,Sample,,6/3/2017 1:02 AM,23132,0.061,3.462,81316,0.060,3.462,15531972,0.069,3.615,3267,0.060,3.518,10041,0.060,3.526,1607,0.066,3.495,3303,0.061,3.495,13378,0.062,3.441,20059,0.062,3.441,30354,0.061,3.464,104002,0.061,3.464,8573,0.061,3.495,29061,0.061,3.495,652,0.065,3.439,3248,0.062,3.439,132,0.067,3.416,319,0.059,3.409
,!,033_Plasma_S1P-3uL_PQC_09,033_Plasma_S1P-3uL_PQC_09.d,Sample,,6/3/2017 1:12 AM,24514,0.062,3.470,74471,0.061,3.462,15593261,0.069,3.615,4515,0.060,3.526,14627,0.059,3.526,1867,0.064,3.495,4212,0.061,3.495,13729,0.062,3.441,21088,0.063,3.441,32848,0.061,3.464,106054,0.061,3.464,10359,0.061,3.495,35745,0.061,3.495,723,0.063,3.439,3689,0.062,3.439,149,0.059,3.409,385,0.060,3.409
,!,034_Plasma_S1P-3uL_TQC_10,034_Plasma_S1P-3uL_TQC_10.d,Sample,,6/3/2017 1:22 AM,26949,0.062,3.470,81829,0.061,3.462,15195847,0.069,3.615,5259,0.060,3.526,15573,0.060,3.526,2135,0.065,3.495,4464,0.062,3.495,15318,0.062,3.441,22554,0.062,3.441,34223,0.061,3.464,111979,0.061,3.464,11572,0.061,3.495,37963,0.061,3.495,688,0.062,3.447,4013,0.061,3.439,329,0.068,3.401,368,0.059,3.409
,!,035_Plasma_S1P-3uL_Sample_F25Y,035_Plasma_S1P-3uL_Sample_F25Y.d,Sample,,6/3/2017 1:33 AM,31930,0.063,3.470,72764,0.061,3.462,17510506,0.070,3.615,6678,0.060,3.526,18477,0.060,3.526,1812,0.062,3.495,4248,0.061,3.495,11816,0.062,3.441,17137,0.063,3.441,29564,0.061,3.464,95769,0.061,3.464,9452,0.061,3.495,29871,0.061,3.495,736,0.062,3.439,3771,0.062,3.439,155,0.061,3.409,295,0.060,3.409
